,modelname,algorithm,depvar,data_train,queryset,preprocessing,Algorithm_text,RunResult_calib,predstore_calib,RunResult_test,predstore_test,RunResult_future,predstore_future,predictions_file_calib,predictions_file_test,predictions_file_future
10,fat_conflicthistory_long_rf,"XGBRFRegressor(base_score=None, booster=None, colsample_bylevel=None,
               colsample_bytree=None, enable_categorical=False, gamma=None,
               gpu_id=None, importance_type=None, interaction_constraints=None,
               max_delta_step=None, max_depth=None, min_child_weight=None,
               missing=nan, monotone_constraints=None, n_estimators=300,
               n_jobs=12, num_parallel_tree=None, objective='reg:squarederror',
               predictor=None, random_state=None, reg_alpha=None,
               scale_pos_weight=None, tree_method=None,
               validate_parameters=None, verbosity=None)",ln_ged_sb_dep,conflictlong_ln,hh_fatalities_ged_acled_ln,float_it,,,,,,,,,,
11,fat_conflicthistory_long_xgb,"XGBRegressor(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=None,
             enable_categorical=False, gamma=None, gpu_id=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.05, max_delta_step=None, max_depth=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=100, n_jobs=12, num_parallel_tree=None,
             predictor=None, random_state=None, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=None, tree_method=None,
             validate_parameters=None, verbosity=None)",ln_ged_sb_dep,conflictlong_ln,hh_fatalities_ged_acled_ln,float_it,,,,,,,,,,
12,fat_vdem_rf,"XGBRFRegressor(base_score=None, booster=None, colsample_bylevel=None,
               colsample_bytree=None, enable_categorical=False, gamma=None,
               gpu_id=None, importance_type=None, interaction_constraints=None,
               max_delta_step=None, max_depth=None, min_child_weight=None,
               missing=nan, monotone_constraints=None, n_estimators=300,
               n_jobs=12, num_parallel_tree=None, objective='reg:squarederror',
               predictor=None, random_state=None, reg_alpha=None,
               scale_pos_weight=None, tree_method=None,
               validate_parameters=None, verbosity=None)",ln_ged_sb_dep,vdem_short,hh_fatalities_vdem_short,float_it,,,,,,,,,,
13,fat_vdem_xgb,"XGBRegressor(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=None,
             enable_categorical=False, gamma=None, gpu_id=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.05, max_delta_step=None, max_depth=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=100, n_jobs=12, num_parallel_tree=None,
             predictor=None, random_state=None, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=None, tree_method=None,
             validate_parameters=None, verbosity=None)",ln_ged_sb_dep,vdem_short,hh_fatalities_vdem_short,float_it,,,,,,,,,,
14,fat_vdem_hurdle_xgb,"HurdleRegression(clf_name='XGBClassifier', reg_name='XGBRegressor')",ln_ged_sb_dep,vdem_short,hh_fatalities_vdem_short,float_it,,,,,,,,,,
15,fat_wdi_rf,"XGBRFRegressor(base_score=None, booster=None, colsample_bylevel=None,
               colsample_bytree=None, enable_categorical=False, gamma=None,
               gpu_id=None, importance_type=None, interaction_constraints=None,
               max_delta_step=None, max_depth=None, min_child_weight=None,
               missing=nan, monotone_constraints=None, n_estimators=300,
               n_jobs=12, num_parallel_tree=None, objective='reg:squarederror',
               predictor=None, random_state=None, reg_alpha=None,
               scale_pos_weight=None, tree_method=None,
               validate_parameters=None, verbosity=None)",ln_ged_sb_dep,wdi_short,hh_fatalities_wdi_short,float_it,,,,,,,,,,
16,fat_wdi_xgb,"XGBRegressor(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=None,
             enable_categorical=False, gamma=None, gpu_id=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.05, max_delta_step=None, max_depth=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=100, n_jobs=12, num_parallel_tree=None,
             predictor=None, random_state=None, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=None, tree_method=None,
             validate_parameters=None, verbosity=None)",ln_ged_sb_dep,wdi_short,hh_fatalities_wdi_short,float_it,,,,,,,,,,
17,fat_wdi_hurdle_xgb,"HurdleRegression(clf_name='XGBClassifier', reg_name='XGBRegressor')",ln_ged_sb_dep,wdi_short,hh_fatalities_wdi_short,float_it,,,,,,,,,,
18,fat_topics_rf,[],ln_ged_sb_dep,topics_short,hh_topic_model_short,float_it,"XGBRFRegressor(base_score=None, booster=None, colsample_bylevel=None,
               colsample_bytree=None, enable_categorical=False, gamma=None,
               gpu_id=None, importance_type=None, interaction_constraints=None,
               max_delta_step=None, max_depth=None, min_child_weight=None,
               missing=nan, monotone_constraints=None, n_estimators=300,
               n_jobs=12, num_parallel_tree=None, objective='reg:squarederror',
               predictor=None, random_state=None, reg_alpha=None,
               scale_pos_weight=None, tree_method=None,
               validate_parameters=None, verbosity=None)",RunResult(training_date = 2022-02-15),cm_fat_topics_rf_calib,RunResult(training_date = 2022-02-15),cm_fat_topics_rf_test,RunResult(training_date = 2022-02-15),cm_fat_topics_rf_f506,,,
19,fat_topics_histgbm,[],ln_ged_sb_dep,topics_short,hh_topic_model_short,float_it,HistGradientBoostingRegressor(max_iter=200),RunResult(training_date = 2022-02-15),cm_fat_topics_histgbm_calib,RunResult(training_date = 2022-02-15),cm_fat_topics_histgbm_test,RunResult(training_date = 2022-02-15),cm_fat_topics_histgbm_f506,,,
20,fat_topics_xgb,[],ln_ged_sb_dep,topics_short,hh_topic_model_short,float_it,"XGBRFRegressor(base_score=None, booster=None, colsample_bylevel=None,
               colsample_bytree=None, enable_categorical=False, gamma=None,
               gpu_id=None, importance_type=None, interaction_constraints=None,
               max_delta_step=None, max_depth=None, min_child_weight=None,
               missing=nan, monotone_constraints=None, n_estimators=300,
               n_jobs=12, num_parallel_tree=None, objective='reg:squarederror',
               predictor=None, random_state=None, reg_alpha=None,
               scale_pos_weight=None, tree_method=None,
               validate_parameters=None, verbosity=None)",RunResult(training_date = 2022-02-15),cm_fat_topics_xgb_calib,RunResult(training_date = 2022-02-15),cm_fat_topics_xgb_test,RunResult(training_date = 2022-02-15),cm_fat_topics_xgb_f506,,,
21,fat_topics_hurdle_xgb,[],ln_ged_sb_dep,topics_short,hh_topic_model_short,float_it,"HurdleRegression(clf_name='XGBClassifier', reg_name='XGBRegressor')",RunResult(training_date = 2022-02-15),cm_fat_topics_hurdle_xgb_calib,RunResult(training_date = 2022-02-15),cm_fat_topics_hurdle_xgb_test,RunResult(training_date = 2022-02-15),cm_fat_topics_hurdle_xgb_f506,,,
22,fat_prs_rf,[],ln_ged_sb_dep,prs,hh_prs,float_it,"XGBRFRegressor(base_score=None, booster=None, colsample_bylevel=None,
               colsample_bytree=None, enable_categorical=False, gamma=None,
               gpu_id=None, importance_type=None, interaction_constraints=None,
               max_delta_step=None, max_depth=None, min_child_weight=None,
               missing=nan, monotone_constraints=None, n_estimators=300,
               n_jobs=12, num_parallel_tree=None, objective='reg:squarederror',
               predictor=None, random_state=None, reg_alpha=None,
               scale_pos_weight=None, tree_method=None,
               validate_parameters=None, verbosity=None)",RunResult(training_date = 2022-02-15),cm_fat_prs_rf_calib,RunResult(training_date = 2022-02-15),cm_fat_prs_rf_test,RunResult(training_date = 2022-02-15),cm_fat_prs_rf_f506,,,
23,fat_prs_xgb,[],ln_ged_sb_dep,prs,hh_prs,float_it,"XGBRegressor(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=None,
             enable_categorical=False, gamma=None, gpu_id=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.05, max_delta_step=None, max_depth=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=100, n_jobs=12, num_parallel_tree=None,
             predictor=None, random_state=None, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=None, tree_method=None,
             validate_parameters=None, verbosity=None)",RunResult(training_date = 2022-02-15),cm_fat_prs_xgb_calib,RunResult(training_date = 2022-02-15),cm_fat_prs_xgb_test,RunResult(training_date = 2022-02-15),cm_fat_prs_xgb_f506,,,
24,fat_prs_hurdle_xgb,[],ln_ged_sb_dep,prs,hh_prs,float_it,"HurdleRegression(clf_name='XGBClassifier', reg_name='XGBRegressor')",RunResult(training_date = 2022-02-15),cm_fat_prs_hurdle_xgb_calib,RunResult(training_date = 2022-02-15),cm_fat_prs_hurdle_xgb_test,RunResult(training_date = 2022-02-15),cm_fat_prs_hurdle_xgb_f506,,,
25,fat_broad_rf,[],ln_ged_sb_dep,broad,hh_broad,float_it,"XGBRFRegressor(base_score=None, booster=None, colsample_bylevel=None,
               colsample_bytree=None, enable_categorical=False, gamma=None,
               gpu_id=None, importance_type=None, interaction_constraints=None,
               max_delta_step=None, max_depth=None, min_child_weight=None,
               missing=nan, monotone_constraints=None, n_estimators=300,
               n_jobs=12, num_parallel_tree=None, objective='reg:squarederror',
               predictor=None, random_state=None, reg_alpha=None,
               scale_pos_weight=None, tree_method=None,
               validate_parameters=None, verbosity=None)",RunResult(training_date = 2022-02-15),cm_fat_broad_rf_calib,RunResult(training_date = 2022-02-15),cm_fat_broad_rf_test,RunResult(training_date = 2022-02-15),cm_fat_broad_rf_f506,,,
26,fat_broad_xgb,[],ln_ged_sb_dep,broad,hh_broad,float_it,"XGBRFRegressor(base_score=None, booster=None, colsample_bylevel=None,
               colsample_bytree=None, enable_categorical=False, gamma=None,
               gpu_id=None, importance_type=None, interaction_constraints=None,
               max_delta_step=None, max_depth=None, min_child_weight=None,
               missing=nan, monotone_constraints=None, n_estimators=300,
               n_jobs=12, num_parallel_tree=None, objective='reg:squarederror',
               predictor=None, random_state=None, reg_alpha=None,
               scale_pos_weight=None, tree_method=None,
               validate_parameters=None, verbosity=None)",RunResult(training_date = 2022-02-15),cm_fat_broad_xgb_calib,RunResult(training_date = 2022-02-15),cm_fat_broad_xgb_test,RunResult(training_date = 2022-02-15),cm_fat_broad_xgb_f506,,,
27,fat_broad_hurdle_xgb,[],ln_ged_sb_dep,broad,hh_broad,float_it,"HurdleRegression(clf_name='XGBClassifier', reg_name='XGBRegressor')",RunResult(training_date = 2022-02-15),cm_fat_broad_hurdle_xgb_calib,RunResult(training_date = 2022-02-15),cm_fat_broad_hurdle_xgb_test,RunResult(training_date = 2022-02-15),cm_fat_broad_hurdle_xgb_f506,,,
28,fat_greatest_hits_rf,[],ln_ged_sb_dep,gh,hh_greatest_hits,float_it,"XGBRFRegressor(base_score=None, booster=None, colsample_bylevel=None,
               colsample_bytree=None, enable_categorical=False, gamma=None,
               gpu_id=None, importance_type=None, interaction_constraints=None,
               max_delta_step=None, max_depth=None, min_child_weight=None,
               missing=nan, monotone_constraints=None, n_estimators=300,
               n_jobs=12, num_parallel_tree=None, objective='reg:squarederror',
               predictor=None, random_state=None, reg_alpha=None,
               scale_pos_weight=None, tree_method=None,
               validate_parameters=None, verbosity=None)",RunResult(training_date = 2022-02-15),cm_fat_greatest_hits_rf_calib,RunResult(training_date = 2022-02-15),cm_fat_greatest_hits_rf_test,RunResult(training_date = 2022-02-15),cm_fat_greatest_hits_rf_f506,,,
29,fat_greatest_hits_xgb,[],ln_ged_sb_dep,gh,hh_greatest_hits,float_it,"XGBRegressor(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=None,
             enable_categorical=False, gamma=None, gpu_id=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.05, max_delta_step=None, max_depth=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=100, n_jobs=12, num_parallel_tree=None,
             predictor=None, random_state=None, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=None, tree_method=None,
             validate_parameters=None, verbosity=None)",RunResult(training_date = 2022-02-15),cm_fat_greatest_hits_xgb_calib,RunResult(training_date = 2022-02-15),cm_fat_greatest_hits_xgb_test,RunResult(training_date = 2022-02-15),cm_fat_greatest_hits_xgb_f506,,,
30,fat_greatest_hits_hurdle_xgb,[],ln_ged_sb_dep,gh,hh_greatest_hits,float_it,"HurdleRegression(clf_name='XGBClassifier', reg_name='XGBRegressor')",RunResult(training_date = 2022-02-15),cm_fat_greatest_hits_hurdle_xgb_calib,RunResult(training_date = 2022-02-15),cm_fat_greatest_hits_hurdle_xgb_test,RunResult(training_date = 2022-02-15),cm_fat_greatest_hits_hurdle_xgb_f506,,,
31,fat_greatest_hits_lgb,[],ln_ged_sb_dep,gh,hh_greatest_hits,float_it,LGBMRegressor(num_threads=8),RunResult(training_date = 2022-02-15),cm_fat_greatest_hits_lgb_calib,RunResult(training_date = 2022-02-15),cm_fat_greatest_hits_lgb_test,RunResult(training_date = 2022-02-15),cm_fat_greatest_hits_lgb_f506,,,
32,fat_hh20_srf,[],ln_ged_sb_dep,hh20,hh_20_features,float_it,"RandomForestRegressor(n_estimators=200, n_jobs=12)",RunResult(training_date = 2022-02-15),cm_fat_hh20_srf_calib,RunResult(training_date = 2022-02-15),cm_fat_hh20_srf_test,RunResult(training_date = 2022-02-15),cm_fat_hh20_srf_f506,,,
33,fat_hh20_rf,[],ln_ged_sb_dep,hh20,hh_20_features,float_it,"XGBRFRegressor(base_score=None, booster=None, colsample_bylevel=None,
               colsample_bytree=None, enable_categorical=False, gamma=None,
               gpu_id=None, importance_type=None, interaction_constraints=None,
               max_delta_step=None, max_depth=None, min_child_weight=None,
               missing=nan, monotone_constraints=None, n_estimators=300,
               n_jobs=12, num_parallel_tree=None, objective='reg:squarederror',
               predictor=None, random_state=None, reg_alpha=None,
               scale_pos_weight=None, tree_method=None,
               validate_parameters=None, verbosity=None)",RunResult(training_date = 2022-05-25),cm_fat_hh20_rf_calib,RunResult(training_date = 2022-02-16),cm_fat_hh20_rf_test,RunResult(training_date = 2022-02-16),cm_fat_hh20_rf_f506,,,
34,fat_hh20_gbm,[],ln_ged_sb_dep,hh20,hh_20_features,float_it,GradientBoostingRegressor(),RunResult(training_date = 2022-02-16),cm_fat_hh20_gbm_calib,RunResult(training_date = 2022-02-16),cm_fat_hh20_gbm_test,RunResult(training_date = 2022-02-16),cm_fat_hh20_gbm_f506,,,
35,fat_hh20_hurdle_rf,[],ln_ged_sb_dep,hh20,hh_20_features,float_it,"HurdleRegression(clf_name='RFClassifier', reg_name='RFRegressor')",RunResult(training_date = 2022-02-16),cm_fat_hh20_hurdle_rf_calib,RunResult(training_date = 2022-02-16),cm_fat_hh20_hurdle_rf_test,RunResult(training_date = 2022-02-16),cm_fat_hh20_hurdle_rf_f506,,,
36,fat_hh20_hurdle_xgb,[],ln_ged_sb_dep,hh20,hh_20_features,float_it,"HurdleRegression(clf_name='XGBClassifier', reg_name='XGBRegressor')",RunResult(training_date = 2022-02-16),cm_fat_hh20_hurdle_xgb_calib,RunResult(training_date = 2022-02-16),cm_fat_hh20_hurdle_xgb_test,RunResult(training_date = 2022-02-16),cm_fat_hh20_hurdle_xgb_f506,,,
37,fat_hh20_hurdle_lgb,[],ln_ged_sb_dep,hh20,hh_20_features,float_it,"HurdleRegression(clf_name='LGBMClassifier', reg_name='LGBMRegressor')",RunResult(training_date = 2022-02-16),cm_fat_hh20_hurdle_lgb_calib,RunResult(training_date = 2022-02-16),cm_fat_hh20_hurdle_lgb_test,RunResult(training_date = 2022-02-16),cm_fat_hh20_hurdle_lgb_f506,,,
38,fat_hh20_histgbm,[],ln_ged_sb_dep,hh20,hh_20_features,float_it,HistGradientBoostingRegressor(max_iter=200),RunResult(training_date = 2022-02-16),cm_fat_hh20_histgbm_calib,RunResult(training_date = 2022-02-16),cm_fat_hh20_histgbm_test,RunResult(training_date = 2022-02-16),cm_fat_hh20_histgbm_f506,,,
39,fat_hh20_xgb,[],ln_ged_sb_dep,hh20,hh_20_features,float_it,"XGBRegressor(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=None,
             enable_categorical=False, gamma=None, gpu_id=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.05, max_delta_step=None, max_depth=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=100, n_jobs=12, num_parallel_tree=None,
             predictor=None, random_state=None, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=None, tree_method=None,
             validate_parameters=None, verbosity=None)",RunResult(training_date = 2022-02-16),cm_fat_hh20_xgb_calib,RunResult(training_date = 2022-02-16),cm_fat_hh20_xgb_test,RunResult(training_date = 2022-02-16),cm_fat_hh20_xgb_f506,,,
40,fat_hh20_lgb,[],ln_ged_sb_dep,hh20,hh_20_features,float_it,"LGBMRegressor(n_estimators=200, num_threads=8)",RunResult(training_date = 2022-02-16),cm_fat_hh20_lgb_calib,RunResult(training_date = 2022-02-16),cm_fat_hh20_lgb_test,RunResult(training_date = 2022-02-16),cm_fat_hh20_lgb_f506,,,
41,fat_all_pca3_xgb,[],ln_ged_sb_dep,pca_all,hh_all_features,pca_it,"XGBRegressor(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=None,
             enable_categorical=False, gamma=None, gpu_id=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.05, max_delta_step=None, max_depth=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=100, n_jobs=12, num_parallel_tree=None,
             predictor=None, random_state=None, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=None, tree_method=None,
             validate_parameters=None, verbosity=None)",RunResult(training_date = 2022-03-31),cm_fat_all_pca3_xgb_calib,RunResult(training_date = 2022-03-31),cm_fat_all_pca3_xgb_test,RunResult(training_date = 2022-04-01),cm_fat_all_pca3_xgb_f506,,,
42,fat_all_pca3_lgb,[],ln_ged_sb_dep,pca_all,hh_all_features,pca_it,LGBMRegressor(num_threads=12),RunResult(training_date = 2022-03-31),cm_fat_all_pca3_lgb_calib,RunResult(training_date = 2022-03-31),cm_fat_all_pca3_lgb_test,RunResult(training_date = 2022-04-01),cm_fat_all_pca3_lgb_f506,,,
43,fat_topics_pca3_xgb,[],ln_ged_sb_dep,pca_topics,hh_topics_short,pca_it,"XGBRegressor(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=None,
             enable_categorical=False, gamma=None, gpu_id=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.05, max_delta_step=None, max_depth=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=100, n_jobs=12, num_parallel_tree=None,
             predictor=None, random_state=None, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=None, tree_method=None,
             validate_parameters=None, verbosity=None)",RunResult(training_date = 2022-03-31),cm_fat_topics_pca3_xgb_calib,RunResult(training_date = 2022-03-31),cm_fat_topics_pca3_xgb_test,RunResult(training_date = 2022-04-01),cm_fat_topics_pca3_xgb_f506,,,
44,fat_topics_pca3_lgb,[],ln_ged_sb_dep,pca_topics,hh_topics_short,pca_it,"LGBMRegressor(n_estimators=200, num_threads=12)",RunResult(training_date = 2022-03-31),cm_fat_topics_pca3_lgb_calib,RunResult(training_date = 2022-03-31),cm_fat_topics_pca3_lgb_test,RunResult(training_date = 2022-04-01),cm_fat_topics_pca3_lgb_f506,,,
45,fat_vdem_pca3_lgb,[],ln_ged_sb_dep,pca_vdem,hh_vdem_short,pca_it,"LGBMRegressor(n_estimators=200, num_threads=12)",RunResult(training_date = 2022-03-31),cm_fat_vdem_pca3_lgb_calib,RunResult(training_date = 2022-03-31),cm_fat_vdem_pca3_lgb_test,RunResult(training_date = 2022-04-01),cm_fat_vdem_pca3_lgb_f506,,,
46,fat_wdi_pca3_lgb,[],ln_ged_sb_dep,pca_wdi,hh_wdi_short,pca_it,"LGBMRegressor(n_estimators=200, num_threads=12)",RunResult(training_date = 2022-03-31),cm_fat_wdi_pca3_lgb_calib,RunResult(training_date = 2022-03-31),cm_fat_wdi_pca3_lgb_test,RunResult(training_date = 2022-04-01),cm_fat_wdi_pca3_lgb_f506,,,
47,fat_hh20_Markov_glm,[],ln_ged_sb_dep,hh20,hh_20_features,,,,,,,,,/Users/havardhegre/Dropbox (ViEWS)/ViEWS/Projects/PredictingFatalities/Predictions/cm/preds/vmm_glm_hh20_0125_alt_calib.csv,/Users/havardhegre/Dropbox (ViEWS)/ViEWS/Projects/PredictingFatalities/Predictions/cm/preds/vmm_glm_hh20_0125_alt_test.csv,/Users/havardhegre/Dropbox (ViEWS)/ViEWS/Projects/PredictingFatalities/Predictions/cm/preds/vmm_glm_hh20_506.csv
48,fat_hh20_Markov_rf,[],ln_ged_sb_dep,hh20,hh_20_features,,,,,,,,,/Users/havardhegre/Dropbox (ViEWS)/ViEWS/Projects/PredictingFatalities/Predictions/cm/preds/vmm_rf_hh20_0125_alt_calib.csv,/Users/havardhegre/Dropbox (ViEWS)/ViEWS/Projects/PredictingFatalities/Predictions/cm/preds/vmm_rf_hh20_0125_alt_test.csv,/Users/havardhegre/Dropbox (ViEWS)/ViEWS/Projects/PredictingFatalities/Predictions/cm/preds/vmm_rf_hh20_505.csv
